"location_id","country","avg_total_energy","avg_energy_from_animal_products","avg_total_fat","avg_total_protein","avg_total_carbohydrates"
6,"China",3077.26243181818,596.049599545454,84.5319270909091,103.295103,475.823669090909
7,"North Korea",2084.17010454545,126.203461363636,35.1379346363636,58.5195598181818,383.462611363636
8,"Taiwan",2956.86292727273,657.143306363636,127.422828136364,92.7728834545455,359.741480454545
11,"Indonesia",2645.94866818182,176.293735909091,53.0469157727273,62.2651601363636,479.866439090909
13,"Malaysia",2862.27411363636,536.233790454545,90.6878617272727,85.0341159545455,426.486724090909
14,"Maldives",2505.07477727273,605.105391363636,60.7888933181818,100.243052181818,389.250638636364
16,"Philippines",2550.60122727273,360.109510454545,50.1224927727273,64.7023373636364,460.172355
17,"Sri Lanka",2544.5075,180.209432272727,43.5529754090909,63.1311406818182,475.001544090909
18,"Thailand",2727.83268636364,316.953633181818,57.0235189545455,62.8428609090909,490.812400909091
20,"Vietnam",2709.29150454545,412.155545,55.4175467272727,77.8512124545454,474.782190454545
22,"Fiji",2758.85130454545,471.203953636364,85.3327195454546,72.856772,424.857435454545
25,"Micronesia",2754.72176666667,474.951996666667,113.161888,77.04555,357.020643333333
26,"Papua New Guinea",2194.33290833333,329.83327,66.2499854166667,65.5891536666667,333.9316
27,"Samoa",2856.20313181818,769.757407727273,119.729091090909,89.5063025909091,355.154024545455
30,"Vanuatu",2746.58592727273,378.177717272727,105.533272136364,69.5239875,379.672636818182
33,"Armenia",2888.48115,702.945561818182,84.8642315454545,91.5257675909091,439.649994090909
34,"Azerbaijan",2909.72216818182,466.758755,62.3885217727273,86.4009840909091,500.655385454545
35,"Georgia",3051.65501818182,586.455057727273,73.7236264090909,86.7123745909091,510.323229090909
36,"Kazakhstan",3082.39580454545,857.181615909091,114.880762727273,95.9415411363636,416.175689090909
37,"Kyrgyzstan",2654.02445,613.617831363636,64.9958514090909,85.7412372727273,431.524216818182
38,"Mongolia",2502.1046,924.615875454545,96.4508379090909,91.7867763181818,316.724990909091
39,"Tajikistan",2273.7111,272.916727272727,62.4379149090909,62.5253646363636,365.417099090909
40,"Turkmenistan",2792.0951,650.772151363636,76.2601076363636,92.5503298181818,433.888204545455
41,"Uzbekistan",2818.20350454545,592.300584545455,79.5097375,86.8377075,438.816255454545
43,"Albania",3188.91175454545,938.64862,103.1857405,108.959189090909,456.100837272727
44,"Bosnia and Herzegovina",3059.11334090909,522.574795909091,75.9041733181818,93.7552071363636,500.238731363636
45,"Bulgaria",2771.1406,648.31593,97.3965309545455,83.3491381818182,390.293810454545
46,"Croatia",2997.30684545455,792.999830909091,107.968763272727,86.5725451818182,419.824450909091
47,"Czechia",3269.64758636364,897.122447727273,134.053165,95.1164597727273,420.675818636364
48,"Hungary",3174.47096818182,968.94593,139.173181818182,88.7713570454546,391.706724090909
49,"North Macedonia",2935.15968181818,559.099627272727,101.683749272727,80.7293980454545,424.272093636364
50,"Montenegro",3179.15137727273,1062.02999,121.976818454545,104.460110681818,415.879888181818
51,"Poland",3389.61950454545,956.671018636364,117.552951454545,105.665280181818,477.245458636364
52,"Romania",3509.31505,917.418838181818,116.232717363636,110.059353409091,505.745795454545
53,"Serbia",3176.78826363636,834.32169,102.712133409091,101.393520363636,461.701245454545
54,"Slovakia",2852.11664090909,798.672244545455,117.049627454545,75.0502329545455,374.617259090909
55,"Slovenia",3152.34474545455,883.054102727273,117.200864227273,102.583050636364,421.801189090909
57,"Belarus",3108.93184090909,826.149341818182,116.480112227273,95.5251533636364,419.627549090909
58,"Estonia",3143.41174090909,933.712339545454,104.795018863636,99.5500757727273,450.514058636364
59,"Latvia",3137.62378181818,936.995399545455,122.302269954545,96.7929479545455,412.432897727273
60,"Lithuania",3296.08206818182,942.33709,98.923608,116.747502454545,484.694893181818
61,"Moldova",2458.12180454545,599.046253181818,70.0053957272727,72.3366783636364,384.681635909091
62,"Russia",3250.14910909091,792.233532272727,99.8299086363636,102.130816681818,485.789159090909
63,"Ukraine",3106.13865454545,675.217658636364,88.1132718181818,91.1889091363636,487.09089
66,"Brunei",2929.16226,583.448993,79.276462,87.1357596,466.782776
67,"Japan",2736.78606818182,556.269778636364,88.6127603181818,91.1929498181818,393.624858636364
68,"South Korea",3217.96448636364,551.438791818182,98.5667520909091,97.3543515909091,485.361576363636
71,"Australia",3353.35275454545,1063.60040772727,149.701974090909,114.388435090909,387.120311363636
72,"New Zealand",3179.05426363636,961.330583636364,117.914937772727,97.1946595454545,432.260297272727
75,"Austria",3740.82209090909,1145.42333181818,168.085486363636,106.611042,450.402130909091
76,"Belgium",3760.61111363636,1218.9223,167.442916818182,101.337662863636,462.068553636364
77,"Cyprus",2815.04857727273,718.239142727273,109.395559954545,91.9460210909091,365.676109545455
78,"Denmark",3422.04986363636,1250.23587727273,136.909592090909,110.156683727273,437.309190454545
79,"Finland",3236.43082727273,1207.69013636364,129.246953409091,113.553605590909,404.748455454545
80,"France",3564.2383,1227.85250909091,157.794678181818,117.526920818182,418.494632272727
81,"Germany",3570.44014090909,1105.75372727273,148.831076363636,106.206882136364,451.533228181818
82,"Greece",3497.19049090909,841.684866363636,152.264728181818,111.720852318182,419.981139090909
83,"Iceland",3386.17624545455,1420.58004545455,147.938179090909,135.415394318182,378.267765909091
84,"Ireland",3688.38020909091,1118.15404272727,138.030681818182,116.8062,494.719815
85,"Israel",3589.22465,828.23074,149.197013363636,126.811805545455,434.801065454545
86,"Italy",3635.49621363636,941.697414545455,156.262923636364,114.524547727273,442.757934090909
