"location_id","location_name","cause_id","avg_prevalence_rate","avg_total_energy","avg_energy_from_animal_products","avg_total_fat","avg_total_protein","avg_total_carbohydrates","avg_pct_insufficient_activity","avg_total_alc_consumption","cluster"
6,"China",491,6514.735899,3077.26243181818,596.049599545454,84.5319270909091,103.295103,475.823669090909,22.008,5.605,1
7,"Democratic People's Republic of Korea",491,6427.262509,2084.17010454545,126.203461363636,35.1379346363636,58.5195598181818,383.462611363636,24.251,3.486,2
11,"Indonesia",491,6045.489269,2645.94866818182,176.293735909091,53.0469157727273,62.2651601363636,479.866439090909,17.146,0.0794,2
13,"Malaysia",491,7295.916179,2862.27411363636,536.233790454545,90.6878617272727,85.0341159545455,426.486724090909,40.562,0.588,2
14,"Maldives",491,6369.418313,2505.07477727273,605.105391363636,60.7888933181818,100.243052181818,389.250638636364,24.371,1.294,2
16,"Philippines",491,5668.717476,2550.60122727273,360.109510454545,50.1224927727273,64.7023373636364,460.172355,32.774,4.889,2
17,"Sri Lanka",491,5513.700542,2544.5075,180.209432272727,43.5529754090909,63.1311406818182,475.001544090909,30.029,2.584,2
18,"Thailand",491,5606.473585,2727.83268636364,316.953633181818,57.0235189545455,62.8428609090909,490.812400909091,23.737,6.773,2
22,"Fiji",491,7532.772547,2758.85130454545,471.203953636364,85.3327195454546,72.856772,424.857435454545,17.458,2.672,2
26,"Papua New Guinea",491,6276.438393,2194.33290833333,329.83327,66.2499854166667,65.5891536666667,333.9316,13.581,1.116,2
27,"Samoa",491,7636.007755,2856.20313181818,769.757407727273,119.729091090909,89.5063025909091,355.154024545455,20.22,1.826,2
30,"Vanuatu",491,7798.991489,2746.58592727273,378.177717272727,105.533272136364,69.5239875,379.672636818182,9.146,1.605,2
33,"Armenia",491,8042.206313,2888.48115,702.945561818182,84.8642315454545,91.5257675909091,439.649994090909,25.043,4.037,2
34,"Azerbaijan",491,7963.494049,2909.72216818182,466.758755,62.3885217727273,86.4009840909091,500.655385454545,22.924,0.572,3
35,"Georgia",491,8539.088432,3051.65501818182,586.455057727273,73.7236264090909,86.7123745909091,510.323229090909,20.642,7.294,3
36,"Kazakhstan",491,7524.928728,3082.39580454545,857.181615909091,114.880762727273,95.9415411363636,416.175689090909,24.02,3.674,1
37,"Kyrgyzstan",491,7095.029336,2654.02445,613.617831363636,64.9958514090909,85.7412372727273,431.524216818182,18.383,5.428,2
38,"Mongolia",491,8105.394702,2502.1046,924.615875454545,96.4508379090909,91.7867763181818,316.724990909091,18.844,8.244,2
39,"Tajikistan",491,7380.387092,2273.7111,272.916727272727,62.4379149090909,62.5253646363636,365.417099090909,31.794,0.817,2
40,"Turkmenistan",491,8300.092026,2792.0951,650.772151363636,76.2601076363636,92.5503298181818,433.888204545455,13.373,2.973,2
41,"Uzbekistan",491,8598.236982,2818.20350454545,592.300584545455,79.5097375,86.8377075,438.816255454545,21.788,2.265,2
43,"Albania",491,8059.02564,3188.91175454545,938.64862,103.1857405,108.959189090909,456.100837272727,22.156,4.482,1
44,"Bosnia and Herzegovina",491,7139.641472,3059.11334090909,522.574795909091,75.9041733181818,93.7552071363636,500.238731363636,18.415,4.953,2
45,"Bulgaria",491,7076.447457,2771.1406,648.31593,97.3965309545455,83.3491381818182,390.293810454545,27.698,10.777,2
